"","","","","","","","","","ASSIMILÉS AU COÛT AMORTI (3.2)","",""
"Décotes sur crédits restructurés","-","-","","","","","","","","(E","n milliers de DH)"
"Pertes sur engagements par signature","-","-","","","","","","","","",""
"","","","","","","","","","","30/06/2020","31/12/2019"
"Autres pertes","-","-","","","","","","","","",""
"","","","","","","","","","Etablissements de crédit","-",""
"Autres produits","-","-","","","","","","","","",""
"Coût du risque de crédit","-437 882   
-","143 473","","","","","","","Comptes et prêts","2 288 542","4 158 531"
"","","","","","","","","","dont comptes ordinaires débiteurs non douteux (1)","2 288 542","3 788 508"
"","","","","","","","","","dont comptes et prêts au jour le jour non douteux (1)","-","370 023"
"PRODUITS ET CHARGES DE COMMISSIONS","(2.3)","","","","","","","","Valeurs reçues en pension","2 209 656","756 952"
"","","","","","","","(En m","illiers de DH)","Titres reçus en pension livrée","-","-"
"","","","","","","","","","Prêts subordonnés","-","-"
"","","","30/0","6/2020","","30/0","6/2019","","","",""
"","","","","","","","","","Autres prêts et créances","17 442","159 350"
"","Pr","oduits","Ch","arges","Net  
  Pr","oduits  
  Ch","arges","Net","","",""
"","","","","","","","","","Valeur brute","4 515 640","5 074 833"
"Sur opérations avec les établissements de crédit","","","-","-","-","-","-","-","","",""
"","","","","","","","","","Dépréciations","-9 349","-5 935"
"Sur opérations internes","","","-","-","-","-","-","-","Valeur nette des prêts et créances auprès des établissement","s",""
"","","","","","","","","","","4 506 291","5 068 897"
"Sur opérations avec la clientèle","","31 7","61","-","31 761","33 303","-","33 303","de crédit","",""
"","","","","","","","","","Opérations internes au Crédit du Maroc","-",""
"Sur opérations sur titres","","","51","-","51","1","-","1","","",""
"","","","","","","","","","Comptes ordinaires","-","-"
"Sur opérations de change","","2 0","06","1 031","975","2 941","3 098","-157","","",""
"","","","","","","","","","Comptes et avances à terme","-","-"
"Sur opérations sur instruments dérivés et autres opérations d","e hors bilan","","-","-","-","-","-","-","Prêts subordonnés","-","-"
"Sur moyens de paiement et autres prestations de services ban","caires et financiers","171 8","34","10 530","161 304","190 691","12 723","177 968","Total prêts et créances internes au Crédit du Maroc","-","-"
"Gestion d'OPCVM, fiducie et activités analogues","","14 7","83","393","14 391","13 204","857","12 347","Valeur au bilan","4 506 291","5 068 897"
"Produits nets des commissions","","220 4","35","11 954","208 481","240 140","16 679","223 461","","",""
"","","","","","","","","","PRÊTS ET CRÉANCES SUR LA CLIENTÈLE","AU COÛT AMORT","I (3.2)"
